+-------------------------------------+--------------------------------------------------------------+---------+----------+---------+-----------+------------------------------------------------------+--------+-------------------------------------------+
*** WARNING ***
The block and item IDs are dynamic and will be different on each world!
DO NOT use them for anything "proper"!! (other than manual editing/fixing of raw world data or something)
*** ALSO ***
The server doesn't have a list of sub block and sub items
(= items with different damage value or blocks with different metadata).
That is why the block and item list dumps only contain one entry per block/item class (separate ID) when run on a server.
NOTE: The metadata value displayed is from the ItemStacks from getSubBlocks(), it's NOT necessarily the metadata value in world!!
NOTE: For blocks, Subtypes = true is only based on the number of returned ItemStacks from getSubBlocks() being > 1
NOTE: For blocks, Subtypes = ? means that Item.getItemFromBlock(block) returned null or the command was run on the server side
The Exists column indicates whether the block currently exists in the game,
or is just a placeholder dummy air block for a remove block read from the block ID map in the level.dat file
+-------------------------------------+--------------------------------------------------------------+---------+----------+---------+-----------+------------------------------------------------------+--------+-------------------------------------------+
| Mod name                            | Registry name                                                | BlockID | Subtypes | Item ID | Item meta | Display name                                         | Exists | Ore Dict keys                             |
+-------------------------------------+--------------------------------------------------------------+---------+----------+---------+-----------+------------------------------------------------------+--------+-------------------------------------------+
| Animania                            | animania:block_hamster_wheel                                 |     259 |    false |    4341 |         0 | Hamster Wheel                                        | true   |                                           |
| Animania                            | animania:block_mud                                           |     253 |    false |    4338 |         0 | Mud                                                  | true   |                                           |
| Animania                            | animania:block_nest                                          |     257 |    false |    4340 |         0 | Nest                                                 | true   |                                           |
| Animania                            | animania:block_seeds                                         |     258 |    false |         |           | Seeds                                                | true   |                                           |
| Animania                            | animania:block_trough                                        |     254 |    false |    4339 |         0 | Trough                                               | true   |                                           |
| Animania                            | animania:cheese_friesian                                     |     260 |    false |    4331 |         0 | Cheese Wheel (Friesian)                              | true   |                                           |
| Animania                            | animania:cheese_goat                                         |     262 |    false |    4333 |         0 | Cheese Wheel (Goat)                                  | true   |                                           |
| Animania                            | animania:cheese_holstein                                     |     261 |    false |    4332 |         0 | Cheese Wheel (Holstein)                              | true   |                                           |
| Animania                            | animania:cheese_mold                                         |     264 |    false |    4335 |         0 | Cheese Mold                                          | true   |                                           |
| Animania                            | animania:cheese_sheep                                        |     263 |    false |    4334 |         0 | Cheese Wheel (Sheep)                                 | true   |                                           |
| Animania                            | animania:invisiblock                                         |     256 |    false |         |           | Trough                                               | true   |                                           |
| Animania                            | animania:milk_friesian                                       |     269 |    false |         |           | tile.milk_friesian.name                              | true   |                                           |
| Animania                            | animania:milk_goat                                           |     270 |    false |         |           | tile.milk_goat.name                                  | true   |                                           |
| Animania                            | animania:milk_holstein                                       |     268 |    false |         |           | tile.milk_holstein.name                              | true   |                                           |
| Animania                            | animania:milk_sheep                                          |     271 |    false |         |           | tile.milk_sheep.name                                 | true   |                                           |
| Animania                            | animania:salt_lick                                           |     265 |    false |    4336 |         0 | Salt Lick                                            | true   |                                           |
| Animania                            | animania:slop                                                |     267 |    false |         |           | tile.slop.name                                       | true   |                                           |
| Animania                            | animania:wool                                                |     266 |     true |    4337 |         0 | Wool (Dorset, Brown)                                 | true   | blockWool,wool                            |
| Animania                            | animania:wool                                                |     266 |     true |    4337 |         1 | Wool (Friesian, Black)                               | true   | blockWool,wool                            |
| Animania                            | animania:wool                                                |     266 |     true |    4337 |         2 | Wool (Friesian, Brown)                               | true   | blockWool,wool                            |
| Animania                            | animania:wool                                                |     266 |     true |    4337 |         3 | Wool (Jacob)                                         | true   | blockWool,wool                            |
| Animania                            | animania:wool                                                |     266 |     true |    4337 |         4 | Wool (Merino, Brown)                                 | true   | blockWool,wool                            |
| Animania                            | animania:wool                                                |     266 |     true |    4337 |         5 | Wool (Merino, White)                                 | true   | blockWool,wool                            |
| Animania                            | animania:wool                                                |     266 |     true |    4337 |         6 | Wool (Suffolk, Brown)                                | true   | blockWool,wool                            |
| Astral Sorcery                      | astralsorcery:blockaltar                                     |    1239 |     true |    5748 |         0 | Luminous Crafting Table                              | true   |                                           |
| Astral Sorcery                      | astralsorcery:blockaltar                                     |    1239 |     true |    5748 |         1 | Starlight Crafting Altar                             | true   |                                           |
| Astral Sorcery                      | astralsorcery:blockaltar                                     |    1239 |     true |    5748 |         2 | Celestial Altar                                      | true   |                                           |
| Astral Sorcery                      | astralsorcery:blockaltar                                     |    1239 |     true |    5748 |         3 | Iridescent Altar                                     | true   |                                           |
| Astral Sorcery                      | astralsorcery:blockattunementaltar                           |    1240 |    false |    5725 |         0 | Attunement Altar                                     | true   |                                           |
| Astral Sorcery                      | astralsorcery:blockattunementrelay                           |    1241 |    false |    5726 |         0 | Spectral Relay                                       | true   |                                           |
| Astral Sorcery                      | astralsorcery:blockblackmarble                               |    1235 |     true |    5743 |         0 | Sooty Marble                                         | true   |                                           |
| Astral Sorcery                      | astralsorcery:blockblackmarble                               |    1235 |     true |    5743 |         1 | Sooty Marble Bricks                                  | true   |                                           |
| Astral Sorcery                      | astralsorcery:blockblackmarble                               |    1235 |     true |    5743 |         2 | Sooty Marble Pillar                                  | true   |                                           |
| Astral Sorcery                      | astralsorcery:blockblackmarble                               |    1235 |     true |    5743 |         3 | Sooty Marble Arch                                    | true   |                                           |
| Astral Sorcery                      | astralsorcery:blockblackmarble                               |    1235 |     true |    5743 |         4 | Chiseled Sooty Marble                                | true   |                                           |
| Astral Sorcery                      | astralsorcery:blockblackmarble                               |    1235 |     true |    5743 |         5 | Engraved Sooty Marble                                | true   |                                           |
| Astral Sorcery                      | astralsorcery:blockblackmarble                               |    1235 |     true |    5743 |         6 | Runed Sooty Marble                                   | true   |                                           |
| Astral Sorcery                      | astralsorcery:blockcelestialcollectorcrystal                 |    1257 |     true |    5750 |         0 | Floating Crystal                                     | true   |                                           |
| Astral Sorcery                      | astralsorcery:blockcelestialcollectorcrystal                 |    1257 |     true |    5750 |         0 | Floating Crystal                                     | true   |                                           |
| Astral Sorcery                      | astralsorcery:blockcelestialcollectorcrystal                 |    1257 |     true |    5750 |         0 | Floating Crystal                                     | true   |                                           |
| Astral Sorcery                      | astralsorcery:blockcelestialcollectorcrystal                 |    1257 |     true |    5750 |         0 | Floating Crystal                                     | true   |                                           |
| Astral Sorcery                      | astralsorcery:blockcelestialcollectorcrystal                 |    1257 |     true |    5750 |         0 | Floating Crystal                                     | true   |                                           |
| Astral Sorcery                      | astralsorcery:blockcelestialcollectorcrystal                 |    1257 |     true |    5750 |         0 | Floating Crystal                                     | true   |                                           |
| Astral Sorcery                      | astralsorcery:blockcelestialcollectorcrystal                 |    1257 |     true |    5750 |         0 | Floating Crystal                                     | true   |                                           |
| Astral Sorcery                      | astralsorcery:blockcelestialcollectorcrystal                 |    1257 |     true |    5750 |         0 | Floating Crystal                                     | true   |                                           |
| Astral Sorcery                      | astralsorcery:blockcelestialcollectorcrystal                 |    1257 |     true |    5750 |         0 | Floating Crystal                                     | true   |                                           |
| Astral Sorcery                      | astralsorcery:blockcelestialcollectorcrystal                 |    1257 |     true |    5750 |         0 | Floating Crystal                                     | true   |                                           |
| Astral Sorcery                      | astralsorcery:blockcelestialcollectorcrystal                 |    1257 |     true |    5750 |         0 | Floating Crystal                                     | true   |                                           |
