+----------------------------+-------------------------------------------+-----------------------------+--------+
| Mod name                   | Registry name                             | Entity class name           |     ID |
+----------------------------+-------------------------------------------+-----------------------------+--------+
| Animania                   | animania:buck_alpine                      | EntityBuckAlpine            |     60 |
| Animania                   | animania:buck_angora                      | EntityBuckAngora            |     63 |
| Animania                   | animania:buck_chinchilla                  | EntityRabbitBuckChinchilla  |    101 |
| Animania                   | animania:buck_cottontail                  | EntityRabbitBuckCottontail  |     98 |
| Animania                   | animania:buck_dutch                       | EntityRabbitBuckDutch       |    104 |
| Animania                   | animania:buck_fainting                    | EntityBuckFainting          |     66 |
| Animania                   | animania:buck_havana                      | EntityRabbitBuckHavana      |    107 |
| Animania                   | animania:buck_jack                        | EntityRabbitBuckJack        |    110 |
| Animania                   | animania:buck_kiko                        | EntityBuckKiko              |     69 |
| Animania                   | animania:buck_kinder                      | EntityBuckKinder            |     72 |
| Animania                   | animania:buck_lop                         | EntityRabbitBuckLop         |    119 |
| Animania                   | animania:buck_new_zealand                 | EntityRabbitBuckNewZealand  |    113 |
| Animania                   | animania:buck_nigerian_dwarf              | EntityBuckNigerianDwarf     |     75 |
| Animania                   | animania:buck_pygmy                       | EntityBuckPygmy             |     78 |
| Animania                   | animania:buck_rex                         | EntityRabbitBuckRex         |    116 |
| Animania                   | animania:bull_angus                       | EntityBullAngus             |     43 |
| Animania                   | animania:bull_friesian                    | EntityBullFriesian          |     46 |
| Animania                   | animania:bull_hereford                    | EntityBullHereford          |     49 |
| Animania                   | animania:bull_holstein                    | EntityBullHolstein          |     52 |
| Animania                   | animania:bull_longhorn                    | EntityBullLonghorn          |     55 |
| Animania                   | animania:calf_angus                       | EntityCalfAngus             |     41 |
| Animania                   | animania:calf_friesian                    | EntityCalfFriesian          |     44 |
| Animania                   | animania:calf_hereford                    | EntityCalfHereford          |     47 |
| Animania                   | animania:calf_holstein                    | EntityCalfHolstein          |     50 |
| Animania                   | animania:calf_longhorn                    | EntityCalfLonghorn          |     53 |
| Animania                   | animania:chick_leghorn                    | EntityChickLeghorn          |     26 |
| Animania                   | animania:chick_orpington                  | EntityChickOrpington        |     29 |
| Animania                   | animania:chick_plymouth_rock              | EntityChickPlymouthRock     |     32 |
| Animania                   | animania:chick_rhode_island_red           | EntityChickRhodeIslandRed   |     35 |
| Animania                   | animania:chick_wyandotte                  | EntityChickWyandotte        |     38 |
| Animania                   | animania:cow_angus                        | EntityCowAngus              |     42 |
| Animania                   | animania:cow_friesian                     | EntityCowFriesian           |     45 |
| Animania                   | animania:cow_hereford                     | EntityCowHereford           |     48 |
| Animania                   | animania:cow_holstein                     | EntityCowHolstein           |     51 |
| Animania                   | animania:cow_longhorn                     | EntityCowLonghorn           |     54 |
| Animania                   | animania:dartfrog                         | EntityDartFrogs             |     58 |
| Animania                   | animania:doe_alpine                       | EntityDoeAlpine             |     61 |
| Animania                   | animania:doe_angora                       | EntityDoeAngora             |     64 |
| Animania                   | animania:doe_chinchilla                   | EntityRabbitDoeChinchilla   |    102 |
| Animania                   | animania:doe_cottontail                   | EntityRabbitDoeCottontail   |     99 |
| Animania                   | animania:doe_dutch                        | EntityRabbitDoeDutch        |    105 |
| Animania                   | animania:doe_fainting                     | EntityDoeFainting           |     67 |
| Animania                   | animania:doe_havana                       | EntityRabbitDoeHavana       |    108 |
| Animania                   | animania:doe_jack                         | EntityRabbitDoeJack         |    111 |
| Animania                   | animania:doe_kiko                         | EntityDoeKiko               |     70 |
| Animania                   | animania:doe_kinder                       | EntityDoeKinder             |     73 |
| Animania                   | animania:doe_lop                          | EntityRabbitDoeLop          |    120 |
| Animania                   | animania:doe_new_zealand                  | EntityRabbitDoeNewZealand   |    114 |
| Animania                   | animania:doe_nigerian_dwarf               | EntityDoeNigerianDwarf      |     76 |
| Animania                   | animania:doe_pygmy                        | EntityDoePygmy              |     79 |
| Animania                   | animania:doe_rex                          | EntityRabbitDoeRex          |    117 |
| Animania                   | animania:ewe_dorper                       | EntityEweDorper             |     87 |
| Animania                   | animania:ewe_dorset                       | EntityEweDorset             |     90 |
