+-------------------------------+---------+-------------+-----------+------------+--------+-----------+-----------------------------------------+
| Name                          | Density | Temperature | Viscosity | Luminosity | Rarity | isGaseous | Block                                   |
+-------------------------------+---------+-------------+-----------+------------+--------+-----------+-----------------------------------------+
| ale                           |    1004 |         300 |      1016 |          0 | COMMON |     false | -                                       |
| alewort                       |    1004 |         300 |      2000 |          0 | COMMON |     false | rustic:ale_wort                         |
| aluminum                      |    2000 |         900 |      6000 |         15 | COMMON |     false | embers:aluminum                         |
| applejuice                    |    1050 |         300 |      1100 |          0 | COMMON |     false | rustic:apple_juice                      |
| astralsorcery.liquidstarlight |    1001 |         100 |       300 |         15 | EPIC   |     false | astralsorcery:fluidblockliquidstarlight |
| betterquesting.placeholder    |    1000 |         300 |      1000 |          0 | COMMON |     false | -                                       |
| biodiesel                     |     789 |         300 |      1000 |          0 | COMMON |     false | immersiveengineering:fluidbiodiesel     |
| biofuel                       |    3000 |         600 |      6000 |         15 | COMMON |     false | industrialforegoing:biofuel             |
| bronze                        |    2000 |         900 |      6000 |         15 | COMMON |     false | embers:bronze                           |
| cider                         |    1004 |         300 |      1400 |          0 | COMMON |     false | -                                       |
| concrete                      |    2400 |         300 |      4000 |          0 | COMMON |     false | immersiveengineering:fluidconcrete      |
| copper                        |    2000 |         900 |      6000 |         15 | COMMON |     false | embers:copper                           |
| creosote                      |    1100 |         300 |      3000 |          0 | COMMON |     false | immersiveengineering:fluidcreosote      |
| dawnstone                     |    2000 |         900 |      6000 |         15 | COMMON |     false | embers:dawnstone                        |
| dist_water                    |    1000 |         300 |      1000 |          0 | COMMON |     false | immersivetech:fluiddistwater            |
| electrum                      |    2000 |         900 |      6000 |         15 | COMMON |     false | embers:electrum                         |
| essence                       |    3000 |         300 |      6000 |         15 | COMMON |     false | industrialforegoing:essence             |
| ethanol                       |     789 |         300 |      1000 |          0 | COMMON |     false | immersiveengineering:fluidethanol       |
| gold                          |    2000 |         900 |      6000 |         15 | COMMON |     false | embers:gold                             |
| grapejuice                    |    1070 |         300 |      1100 |          0 | COMMON |     false | rustic:grape_juice                      |
| honey                         |    1433 |         300 |      5500 |          0 | COMMON |     false | rustic:honey                            |
| if.pink_slime                 |    3000 |         300 |      6000 |         15 | COMMON |     false | industrialforegoing:if.pink_slime       |
| if.protein                    |    3000 |         600 |      6000 |         15 | COMMON |     false | industrialforegoing:if.protein          |
| iron                          |    2000 |         900 |      6000 |         15 | COMMON |     false | embers:iron                             |
| ironberryjuice                |    1100 |         300 |      1100 |          0 | COMMON |     false | rustic:ironberry_juice                  |
| ironwine                      |    1034 |         300 |      1400 |          0 | COMMON |     false | -                                       |
| latex                         |    3000 |         600 |      6000 |         15 | COMMON |     false | industrialforegoing:latex               |
| lava                          |    3000 |        1300 |      6000 |         15 | COMMON |     false | minecraft:lava                          |
| lead                          |    2000 |         900 |      6000 |         15 | COMMON |     false | embers:lead                             |
| mead                          |    1034 |         300 |      1500 |          0 | COMMON |     false | -                                       |
| meat                          |    3000 |         600 |      6000 |         15 | COMMON |     false | industrialforegoing:meat                |
| milk                          |    3000 |         300 |      6000 |         15 | COMMON |     false | industrialforegoing:milk                |
| milk_friesian                 |     500 |         300 |      1000 |          0 | COMMON |     false | animania:milk_friesian                  |
| milk_goat                     |     500 |         300 |      1000 |          0 | COMMON |     false | animania:milk_goat                      |
| milk_holstein                 |     500 |         300 |      1000 |          0 | COMMON |     false | animania:milk_holstein                  |
| milk_sheep                    |     500 |         300 |      1000 |          0 | COMMON |     false | animania:milk_sheep                     |
| nickel                        |    2000 |         900 |      6000 |         15 | COMMON |     false | embers:nickel                           |
| oliveoil                      |     920 |         300 |      2000 |          0 | COMMON |     false | rustic:olive_oil                        |
| plantoil                      |     925 |         300 |      2000 |          0 | COMMON |     false | immersiveengineering:fluidplantoil      |
| potion                        |    1000 |         300 |      1000 |          0 | COMMON |     false | -                                       |
| sewage                        |    3000 |         600 |      6000 |         15 | COMMON |     false | industrialforegoing:sewage              |
| silver                        |    2000 |         900 |      6000 |         15 | COMMON |     false | embers:silver                           |
| slime                         |    5000 |         300 |      5000 |          0 | COMMON |     false | immersivetech:fluidslime                |
| slop                          |    3000 |         300 |      7000 |          0 | COMMON |     false | animania:slop                           |
| sludge                        |    3000 |         600 |      6000 |         15 | COMMON |     false | industrialforegoing:sludge              |
| steam                         |    -100 |         300 |       500 |          0 | COMMON |      true | immersivetech:fluidsteam                |
| tin                           |    2000 |         900 |      6000 |         15 | COMMON |     false | embers:tin                              |
| water                         |    1000 |         300 |      1000 |          0 | COMMON |     false | minecraft:water                         |
| wildberryjuice                |    1070 |         300 |      1100 |          0 | COMMON |     false | rustic:wildberry_juice                  |
| wildberrywine                 |    1034 |         300 |      1500 |          0 | COMMON |     false | -                                       |
| wine                          |    1034 |         300 |      1500 |          0 | COMMON |     false | -                                       |
| xpjuice                       |     800 |         300 |      1500 |         10 | COMMON |     false | -                                       |
+-------------------------------+---------+-------------+-----------+------------+--------+-----------+-----------------------------------------+
| Name                          | Density | Temperature | Viscosity | Luminosity | Rarity | isGaseous | Block                                   |
+-------------------------------+---------+-------------+-----------+------------+--------+-----------+-----------------------------------------+
