+------------------------------------------+----------+----------------------------------+--------------------------------------------------+-----+
| Registry name                            | Meta/dmg | Display name                     | Ore Dict Keys                                    | NBT |
+------------------------------------------+----------+----------------------------------+--------------------------------------------------+-----+
| animania:blue_peacock_feather            |        0 | Blue Peacock Feather             | feather                                          |     |
| animania:brown_egg                       |        0 | Egg                              | egg,listAllegg                                   |     |
| animania:charcoal_peacock_feather        |        0 | Charcoal Peacock Feather         | feather                                          |     |
| animania:cooked_angus_roast              |        0 | Roast Beef (Angus)               | foodMeats,listAllbeefcooked,listAllmeatcooked    |     |
| animania:cooked_angus_steak              |        0 | Cooked Steak (Angus)             | foodMeats,listAllbeefcooked,listAllmeatcooked    |     |
| animania:cooked_chevon                   |        0 | item.animania_cooked_chevon.name | foodMeats,listAllmeatcooked                      |     |
| animania:cooked_duroc_bacon              |        0 | Bacon (Duroc)                    | foodMeats,listAllmeatcooked,listAllporkcooked    |     |
| animania:cooked_duroc_roast              |        0 | Roast Pork (Duroc)               | foodMeats,listAllmeatcooked,listAllporkcooked    |     |
| animania:cooked_frog_legs                |        0 | Cooked Frog Legs                 | foodMeats,listAllmeatcooked                      |     |
| animania:cooked_hampshire_bacon          |        0 | Bacon (Hampshire)                | foodMeats,listAllmeatcooked,listAllporkcooked    |     |
| animania:cooked_hampshire_roast          |        0 | Roast Pork (Hampshire)           | foodMeats,listAllmeatcooked,listAllporkcooked    |     |
| animania:cooked_hereford_roast           |        0 | Roast Beef (Hereford)            | foodMeats,listAllbeefcooked,listAllmeatcooked    |     |
| animania:cooked_hereford_steak           |        0 | Cooked Steak (Hereford)          | foodMeats,listAllbeefcooked,listAllmeatcooked    |     |
| animania:cooked_large_black_bacon        |        0 | Bacon (Large Black)              | foodMeats,listAllmeatcooked,listAllporkcooked    |     |
| animania:cooked_large_black_roast        |        0 | Roast Pork (Large Black)         | foodMeats,listAllmeatcooked,listAllporkcooked    |     |
| animania:cooked_longhorn_roast           |        0 | Roast Beef (Longhorn)            | foodMeats,listAllbeefcooked,listAllmeatcooked    |     |
| animania:cooked_longhorn_steak           |        0 | Cooked Steak (Longhorn)          | foodMeats,listAllbeefcooked,listAllmeatcooked    |     |
| animania:cooked_old_spot_bacon           |        0 | Bacon (Old Spot)                 | foodMeats,listAllmeatcooked,listAllporkcooked    |     |
| animania:cooked_old_spot_roast           |        0 | Roast Pork (Old Spot)            | foodMeats,listAllmeatcooked,listAllporkcooked    |     |
| animania:cooked_orpington_chicken        |        0 | Roast Chicken (Orpington)        | foodMeats,listAllchickencooked,listAllmeatcooked |     |
| animania:cooked_plymouth_rock_chicken    |        0 | Roast Chicken (Plymouth Rock)    | foodMeats,listAllchickencooked,listAllmeatcooked |     |
| animania:cooked_prime_bacon              |        0 | Roast Prime Bacon                | foodMeats,listAllporkcooked                      |     |
| animania:cooked_prime_beef               |        0 | Roast Prime Beef                 | foodMeats,listAllbeefcooked,listAllmeatcooked    |     |
| animania:cooked_prime_chevon             |        0 | Cooked Prime Chevon              | foodMeats,listAllmeatcooked                      |     |
| animania:cooked_prime_chicken            |        0 | Roast Prime Chicken              | foodMeats,listAllchickencooked,listAllmeatcooked |     |
| animania:cooked_prime_mutton             |        0 | Cooked Prime Mutton              | foodMeats,listAllmeatcooked                      |     |
| animania:cooked_prime_pork               |        0 | Roast Prime Pork                 | foodMeats,listAllmeatcooked,listAllporkcooked    |     |
| animania:cooked_prime_rabbit             |        0 | Cooked Prime Rabbit              | foodMeats,listAllmeatcooked                      |     |
| animania:cooked_prime_steak              |        0 | Roast Prime Steak                | foodMeats,listAllbeefcooked                      |     |
| animania:cooked_rhode_island_red_chicken |        0 | Roast Chicken (Rhode Island Red) | foodMeats,listAllchickencooked,listAllmeatcooked |     |
| animania:cooked_wyandotte_chicken        |        0 | Roast Chicken (Wyandotte)        | foodMeats,listAllchickencooked,listAllmeatcooked |     |
| animania:friesian_cheese_wedge           |        0 | Cheese Wedge (Friesian)          | foodCheese                                       |     |
| animania:goat_cheese_wedge               |        0 | Cheese Wedge (Goat)              | foodCheese                                       |     |
| animania:holstein_cheese_wedge           |        0 | Cheese Wedge (Holstein)          | foodCheese                                       |     |
| animania:opal_peacock_feather            |        0 | Opal Peacock Feather             | feather                                          |     |
| animania:peach_peacock_feather           |        0 | Peach Peacock Feather            | feather                                          |     |
| animania:peacock_egg_blue                |        0 | Peafowl Egg                      | egg,listAllegg                                   |     |
| animania:peacock_egg_white               |        0 | Peafowl Egg                      | egg,listAllegg                                   |     |
| animania:purple_peacock_feather          |        0 | Purple Peacock Feather           | feather                                          |     |
| animania:raw_angus_beef                  |        0 | Raw Beef (Angus)                 | foodMeats,listAllbeefraw,listAllmeatraw          |     |
| animania:raw_angus_steak                 |        0 | Raw Steak (Angus)                | foodMeats,listAllbeefraw,listAllmeatraw          |     |
| animania:raw_chevon                      |        0 | Raw Chevon                       | foodMeats,listAllmeatraw                         |     |
| animania:raw_duroc_bacon                 |        0 | Raw Bacon (Duroc)                | foodMeats,listAllmeatraw,listAllporkraw          |     |
| animania:raw_duroc_pork                  |        0 | Raw Pork (Duroc)                 | foodMeats,listAllmeatraw,listAllporkraw          |     |
| animania:raw_frog_legs                   |        0 | Raw Frog Legs                    | listAllmeatraw                                   |     |
