+-----------------------+------------------------------------------+------------------------------------------+----+-------------------------+--------+---------------+
| Mod name              | Registry name                            | Potion Name                              | ID | Liquid color            | Is bad | Is beneficial |
+-----------------------+------------------------------------------+------------------------------------------+----+-------------------------+--------+---------------+
| Astral Sorcery        | astralsorcery:potionbleed                | effect.as.bleed                          | 83 | 0x00751200 (   7672320) |   true |         false |
| Astral Sorcery        | astralsorcery:potioncheatdeath           | effect.as.cheatdeath                     | 82 | 0x00FF5711 (  16733969) |  false |          true |
| Astral Sorcery        | astralsorcery:potionspellplague          | effect.as.spellplague                    | 84 | 0x00680190 (   6816144) |   true |         false |
| Botania               | botania:allure                           | botania.potion.allure                    | 44 | 0x000034E4 (     13540) |  false |          true |
| Botania               | botania:bloodthirst                      | botania.potion.bloodthirst               | 43 | 0x00C30000 (  12779520) |  false |          true |
| Botania               | botania:clear                            | botania.potion.clear                     | 45 | 0x00FFFFFF (  16777215) |  false |         false |
| Botania               | botania:emptiness                        | botania.potion.emptiness                 | 42 | 0x00FACFFF (  16437247) |  false |          true |
| Botania               | botania:featherfeet                      | botania.potion.featherFeet               | 41 | 0x0026ADFF (   2534911) |  false |          true |
| Botania               | botania:soulcross                        | botania.potion.soulCross                 | 40 | 0x0047453D (   4670781) |  false |          true |
| Extra Alchemy         | extraalchemy:effect.beheading            | effect.beheading                         | 70 | 0x008D5F07 (   9264903) |   true |         false |
| Extra Alchemy         | extraalchemy:effect.charged              | effect.charged                           | 61 | 0x00750094 (   7667860) |  false |          true |
| Extra Alchemy         | extraalchemy:effect.charged2             | effect.charged2                          | 62 | 0x00FF00DB (  16711899) |  false |          true |
| Extra Alchemy         | extraalchemy:effect.cheatdeath_active    | effect.cheatDeath_active                 | 60 | 0xFFFF0011 (    -65519) |   true |         false |
| Extra Alchemy         | extraalchemy:effect.cheatdeath_quiescent | effect.cheatDeath_quiescent              | 59 | 0xFFFF0011 (    -65519) |  false |          true |
| Extra Alchemy         | extraalchemy:effect.combustion           | effect.combustion                        | 64 | 0x00F96501 (  16344321) |   true |         false |
| Extra Alchemy         | extraalchemy:effect.concentration        | effect.concentration                     | 55 | 0x00C8C5E5 (  13157861) |  false |          true |
| Extra Alchemy         | extraalchemy:effect.crumbling            | effect.crumbling                         | 54 | 0x00A18F58 (  10587992) |  false |          true |
| Extra Alchemy         | extraalchemy:effect.detection            | effect.detection                         | 65 | 0x00007FFF (     32767) |  false |          true |
| Extra Alchemy         | extraalchemy:effect.dislocation          | effect.dislocation                       | 50 | 0x009361B5 (   9658805) |  false |          true |
| Extra Alchemy         | extraalchemy:effect.dispel               | effect.dispel                            | 71 | 0x00105955 (   1071445) |   true |         false |
| Extra Alchemy         | extraalchemy:effect.freezing             | effect.freezing                          | 49 | 0x00C0E1F0 (  12640752) |   true |         false |
| Extra Alchemy         | extraalchemy:effect.fuse                 | effect.fuse                              | 46 | 0x00FF0000 (  16711680) |   true |         false |
| Extra Alchemy         | extraalchemy:effect.gravity              | effect.gravity                           | 67 | 0x00815D09 (   8477961) |   true |         false |
| Extra Alchemy         | extraalchemy:effect.hurry                | effect.hurry                             | 58 | 0x008DC63F (   9291327) |  false |          true |
| Extra Alchemy         | extraalchemy:effect.learning             | effect.learning                          | 66 | 0x00D5FF39 (  14024505) |  false |          true |
| Extra Alchemy         | extraalchemy:effect.leech                | effect.leech                             | 68 | 0x003E3E3E (   4079166) |  false |          true |
| Extra Alchemy         | extraalchemy:effect.magnetism            | effect.magnetism                         | 51 | 0x00C7C7C7 (  13092807) |  false |          true |
| Extra Alchemy         | extraalchemy:effect.pacifism             | effect.pacifism                          | 53 | 0x00FEFFE7 (  16711655) |  false |          true |
| Extra Alchemy         | extraalchemy:effect.photosynthesis       | effect.photosynthesis                    | 57 | 0x0000BB00 (     47872) |  false |          true |
| Extra Alchemy         | extraalchemy:effect.piper                | effect.piper                             | 52 | 0x00FFDF9F (  16768927) |  false |          true |
